title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
A Minecraft Movie,950387,2025-03-31,8B1EtVPBSMw,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",300,101,"Family, Comedy, Adventure, Fantasy","Warner Bros. Pictures, Legendary Pictures, Mojang Studios, Vertigo Entertainment, On the Roam, Domain Entertainment",6.115,344,150000000,323380122,990.9442,N/A,N/A,13,tt3566834,N/A,PG,N/A,Jared Hess,"Jennifer Coolidge, Jason Momoa, Emma Myers"
Captain America: Brave New World,822119,2025-02-12,5PSzFLV-EyQ,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",300,119,"Action, Thriller, Science Fiction","Marvel Studios, Kevin Feige Productions",6.099,1248,180000000,411409721,290.6772,"$166,130,763",6.0,"63,779",tt14513804,42,PG-13,2 nominations total,Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez"
In the Lost Lands,324544,2025-02-27,CMyrp5Vk3mU,/dDlfjR7gllmr8HTeN6rfrYhTdwX.jpg,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce must outwit and outfight man and demon.",300,102,"Fantasy, Adventure, Action","Constantin Film, Spark Productions",5.763,40,55000000,4755330,286.9797,N/A,5.4,193,tt4419684,37,R,N/A,Paul W.S. Anderson,"Milla Jovovich, Dave Bautista, Arly Jover"
A Working Man,1197306,2025-03-26,mdfrG2cLK58,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",216,116,"Action, Crime, Thriller","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5",6.487,157,40000000,44417000,250.6428,N/A,N/A,N/A,tt8271574,N/A,N/A,N/A,Brett Wineland,"Mackenzie Baumhower, Turner Bertz-Ferrara, David Epsen"
Mickey 17,696506,2025-02-28,tA1s65o_kYM,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",300,137,"Science Fiction, Comedy, Adventure","Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment",6.959,1320,118000000,122908117,241.9858,N/A,7.3,"2,466",tt12299608,75,R,N/A,Bong Joon Ho,"Robert Pattinson, Steven Yeun, Michael Monroe"
Mufasa: The Lion King,762509,2024-12-18,lMXh6vjiZrI,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",300,118,"Adventure, Family, Animation",Walt Disney Pictures,7.412,1906,200000000,721046090,170.2212,"$248,443,645",6.6,"44,872",tt13186482,56,PG,15 nominations total,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone"
Flight Risk,1126166,2025-01-22,Cml3CFDBj2s,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",300,91,"Action, Crime, Thriller","Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies",6.12,595,25000000,40420193,115.8844,"$29,783,527",5.3,"21,349",tt10078772,38,R,N/A,Mel Gibson,"Michelle Dockery, Mark Wahlberg, Topher Grace"
Snow White,447273,2025-03-19,KsSoo5K8CpA,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",192,109,"Family, Fantasy","Walt Disney Pictures, Marc Platt Productions",4.544,524,270000000,168362470,114.616,N/A,6.5,965,tt0093999,N/A,PG,N/A,Michael Berz,"Diana Rigg, Billy Barty, Sarah Patterson"
Opus,1202479,2025-03-13,5owo-kbx8X0,/m0du9dsiOVeb0SgfqR8ZAEPRxww.jpg,"A young writer is invited to the remote compound of a legendary pop star who mysteriously disappeared thirty years ago. Surrounded by the star's cult of sycophants and intoxicated journalists, she finds herself in the middle of his twisted plan.",300,104,"Horror, Mystery, Thriller","A24, Makeready, MACRO",5.339,56,10000000,2183539,85.2157,N/A,4.2,104,tt1817730,N/A,N/A,N/A,Micah Levin,"Lola Blanc, De'Markes Dogan, Carolyn Jania"
Kraven the Hunter,539972,2024-12-11,hR1-ihzff3I,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",300,127,"Action, Adventure, Thriller","Columbia Pictures, Matt Tolmach Productions, Arad Productions",6.625,1535,120000000,59184643,77.4749,"$25,026,310",5.4,"44,505",tt8790086,35,R,5 nominations total,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger"
Novocaine,1195506,2025-03-12,99BLnkAlC1M,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",215,109,"Action, Comedy, Thriller","Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix",6.963,216,18000000,32254000,235.1646,"$2,036,682",5.8,"11,952",tt0234354,45,R,N/A,David Atkins,"Steve Martin, Helena Bonham Carter, Chelcie Ross"
Gladiator II,558449,2024-11-13,TQwSz88ITAE,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",300,148,"Action, Adventure, Drama","Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",6.754,3153,310000000,458718000,68.074,"$172,118,000",6.6,"172,374",tt9218128,64,R,Nominated for 3 BAFTA 3 wins & 86 nominations total,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal"
The Monkey,1124620,2025-02-14,husMGbXEIho,/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",300,98,"Horror, Comedy","Atomic Monster, C2 Motion Picture Group, Range Media Partners, Oddfellows Entertainment, The Safran Company, Stars Collective",5.854,411,10000000,68397253,65.5398,N/A,7.0,399,tt27714946,67,R,N/A,Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery"
The Wild Robot,1184918,2024-09-12,VUCNBAmse04,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",300,102,"Animation, Science Fiction, Family",DreamWorks Animation,8.333,4667,78000000,331982078,62.8496,"$143,901,945",8.2,"151,636",tt29623480,85,PG,Nominated for 3 Oscars. 85 wins & 104 nominations total,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
Companion,1084199,2025-01-22,Qr_kX0D3DNA,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",300,97,"Horror, Thriller, Science Fiction","BoulderLight Pictures, New Line Cinema, Vertigo Entertainment, Subconscious, Domain Entertainment, Warner Bros. Pictures",7.1,986,10000000,36499858,56.4181,"$20,809,101",7.0,"62,373",tt26584495,70,R,1 win total,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage"
Deadpool & Wolverine,533535,2024-07-24,Idh8n5XuYIA,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",300,128,"Action, Comedy, Science Fiction","Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",7.607,7023,200000000,1338073645,61.6682,"$636,745,858",7.6,"480,069",tt6263850,56,R,18 wins & 53 nominations total,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin"
Solo Leveling -ReAwakening-,1357633,2024-11-26,UdIXUDpeTXU,/dblIFen0bNZAq8icJXHwrjfymDW.jpg,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",300,116,"Action, Adventure, Fantasy, Animation","Aniplex, A-1 Pictures",7.0,178,0,6331827,54.3878,"$3,350,693",8.6,"5,541",tt33428606,N/A,R,N/A,Shunsuke Nakashige,"Taito Ban, Geoff Bisente, Drew Breedlove"
